NationalGridBmUnit,carrier,bus,lon,lat,capacity
I2G-RISQ1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-RWES1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-SETL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-SSEG1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-STAT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-TGPL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-TRFD1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-TRFG1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-TRLS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-VOLT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-VSAL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-VTET1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-XNON1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
IBD-DARE1,interconnector,4969,0.653,51.46,0.0
IBG-ALIP1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ALPE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-BDEN1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-BKWE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-BPGE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-BRTN1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CACM1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CBST1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CENT1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CETA1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CEZC1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CGML1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CNGS1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CONS1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-CONV1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-COPN1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-DARE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-DMCC1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-DNGN1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-DSKC1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-DUFE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-DVAL1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-EDFT1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-EDMK1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-EGLE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ELEE1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ELTR1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ENEL1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ENET1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ENGM1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ENSP1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ENTC1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-EOET1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
