LineID,bus0,bus1,voltage,s_nom,r,x,b,length,under_construction
527,GB9-275,way/95374266-275,275,1843.335,0.058261,0.385976,2.42e-05,2913.03,f
528,way/1274396508-400,way/375626500-400,400,3574.953,0.046821,0.383931,2.71e-05,3121.39,f
529,way/307769998-275,way/1307462736-275,275,1843.335,0.429973,2.848568,0.00017831,21498.63,f
530,relation/7879831-400,relation/13110367-400,400,3574.953,1.272022,10.43058,0.0007353,84801.46,f
531,way/94004582-400,GB20-400,400,3574.953,0.138845,1.138531,8.03e-05,9256.35,f
532,way/284874050-400,way/676646876-400,400,3574.953,0.351586,2.883009,0.00020324,23439.1,f
533,way/677845115-400,way/34656007-400,400,3574.953,0.315592,2.587856,0.00018243,21039.48,f
534,way/123129049-275,way/40685663-275,275,921.668,0.084522,0.559956,8.76e-06,2113.04,f
535,GB11-275,way/27163121-275,275,921.668,0.174816,1.158156,1.81e-05,4370.4,f
536,way/166703766-400,way/820237569-400,400,3574.953,0.514229,4.216676,0.00029725,34281.92,f
537,way/1190395478-400,way/133323988-400,400,3574.953,0.455634,3.736198,0.00026338,30375.59,f
538,way/689624522-275,way/820229174-275,275,1843.335,0.294959,1.954106,0.00012232,14747.97,f
539,way/127045977-275,way/689624522-275,275,1843.335,0.172829,1.144993,7.17e-05,8641.46,f
540,way/730870685-275,way/89836009-275,275,1843.335,0.085897,0.569066,3.56e-05,4294.84,f
541,way/1252341626-275,way/241491759-275,275,1843.335,1.348328,8.932676,0.00055914,67416.42,f
542,way/308724719-275,way/222205173-275,275,1843.335,0.063176,0.418544,2.62e-05,3158.82,f
543,way/86071326-275,way/162124572-275,275,1843.335,0.049998,0.331237,2.07e-05,2499.9,f
544,way/100077745-400,relation/7894974-400,400,3574.953,0.525486,4.308986,0.00030376,35032.41,f
545,way/166703764-275,GB15-275,275,1843.335,0.104339,0.691247,4.33e-05,5216.96,f
546,way/119315549-275,GB15-275,275,1843.335,0.114236,0.756816,4.74e-05,5711.82,f
547,way/143110887-275,way/143105488-275,275,1843.335,0.027295,0.180831,1.13e-05,1364.76,f
548,way/100077745-275,way/143388743-275,275,1843.335,0.077287,0.512029,3.21e-05,3864.37,f
549,way/125860302-275,way/143110887-275,275,1843.335,0.187612,1.242928,7.78e-05,9380.59,f
