UnitID,name,type,Bus name,x,y,capacity,Technology,Cost
270,IBG-COPN1,interconnector,way/814351697-400,0.653,51.46,0,,0
271,IBG-DARE1,interconnector,way/814351697-400,0.653,51.46,0,,0
272,IBG-DMCC1,interconnector,way/814351697-400,0.653,51.46,0,,0
273,IBG-DNGN1,interconnector,way/814351697-400,0.653,51.46,0,,0
274,IBG-DSKC1,interconnector,way/814351697-400,0.653,51.46,0,,0
275,IBG-DUFE1,interconnector,way/814351697-400,0.653,51.46,0,,0
276,IBG-DVAL1,interconnector,way/814351697-400,0.653,51.46,0,,0
277,IBG-EDFT1,interconnector,way/814351697-400,0.653,51.46,0,,0
278,IBG-EDMK1,interconnector,way/814351697-400,0.653,51.46,0,,0
279,IBG-EGLE1,interconnector,way/814351697-400,0.653,51.46,0,,0
280,IBG-ELEE1,interconnector,way/814351697-400,0.653,51.46,0,,0
281,IBG-ELTR1,interconnector,way/814351697-400,0.653,51.46,0,,0
282,IBG-ENEL1,interconnector,way/814351697-400,0.653,51.46,0,,0
283,IBG-ENET1,interconnector,way/814351697-400,0.653,51.46,0,,0
284,IBG-ENGM1,interconnector,way/814351697-400,0.653,51.46,0,,0
285,IBG-ENSP1,interconnector,way/814351697-400,0.653,51.46,0,,0
286,IBG-ENTC1,interconnector,way/814351697-400,0.653,51.46,0,,0
287,IBG-EOET1,interconnector,way/814351697-400,0.653,51.46,0,,0
288,IBG-EPCO1,interconnector,way/814351697-400,0.653,51.46,0,,0
289,IBG-ERVA1,interconnector,way/814351697-400,0.653,51.46,0,,0
290,IBG-EZCO1,interconnector,way/814351697-400,0.653,51.46,0,,0
291,IBG-FPCD1,interconnector,way/814351697-400,0.653,51.46,0,,0
292,IBG-GAZP1,interconnector,way/814351697-400,0.653,51.46,0,,0
293,IBG-GLEN1,interconnector,way/814351697-400,0.653,51.46,0,,0
294,IBG-HART1,interconnector,way/814351697-400,0.653,51.46,0,,0
295,IBG-HELI1,interconnector,way/814351697-400,0.653,51.46,0,,0
296,IBG-IBES1,interconnector,way/814351697-400,0.653,51.46,0,,0
297,IBG-IDCE1,interconnector,way/814351697-400,0.653,51.46,0,,0
298,IBG-INCM1,interconnector,way/814351697-400,0.653,51.46,0,,0
299,IBG-KCST1,interconnector,way/814351697-400,0.653,51.46,0,,0
300,IBG-LTFD1,interconnector,way/814351697-400,0.653,51.46,0,,0
301,IBG-MCRA1,interconnector,way/814351697-400,0.653,51.46,0,,0
302,IBG-MFTE1,interconnector,way/814351697-400,0.653,51.46,0,,0
303,IBG-MONL1,interconnector,way/814351697-400,0.653,51.46,0,,0
304,IBG-NEAS1,interconnector,way/814351697-400,0.653,51.46,0,,0
305,IBG-NITR1,interconnector,way/814351697-400,0.653,51.46,0,,0
306,IBG-NORL1,interconnector,way/814351697-400,0.653,51.46,0,,0
307,IBG-NTPL1,interconnector,way/814351697-400,0.653,51.46,0,,0
308,IBG-OMPX1,interconnector,way/814351697-400,0.653,51.46,0,,0
309,IBG-OPMX1,interconnector,way/814351697-400,0.653,51.46,0,,0
310,IBG-OUTL1,interconnector,way/814351697-400,0.653,51.46,0,,0
311,IBG-PETC1,interconnector,way/814351697-400,0.653,51.46,0,,0
312,IBG-PTRS1,interconnector,way/814351697-400,0.653,51.46,0,,0
313,IBG-PWMR1,interconnector,way/814351697-400,0.653,51.46,0,,0
314,IBG-PZEM1,interconnector,way/814351697-400,0.653,51.46,0,,0
315,IBG-QUAR1,interconnector,way/814351697-400,0.653,51.46,0,,0
316,IBG-QUEN1,interconnector,way/814351697-400,0.653,51.46,0,,0
317,IBG-RESP1,interconnector,way/814351697-400,0.653,51.46,0,,0
318,IBG-RWES1,interconnector,way/814351697-400,0.653,51.46,0,,0
319,IBG-SETL1,interconnector,way/814351697-400,0.653,51.46,0,,0
320,IBG-SSEG1,interconnector,way/814351697-400,0.653,51.46,0,,0
321,IBG-STAT1,interconnector,way/814351697-400,0.653,51.46,0,,0
322,IBG-TGPL1,interconnector,way/814351697-400,0.653,51.46,0,,0
323,IBG-TRFD1,interconnector,way/814351697-400,0.653,51.46,0,,0
324,IBG-TRFG1,interconnector,way/814351697-400,0.653,51.46,0,,0
325,IBG-TRLS1,interconnector,way/814351697-400,0.653,51.46,0,,0
326,IBG-VETR1,interconnector,way/814351697-400,0.653,51.46,0,,0
327,IBG-VOLT1,interconnector,way/814351697-400,0.653,51.46,0,,0
328,IBG-VSAL1,interconnector,way/814351697-400,0.653,51.46,0,,0
329,IBG-XNON1,interconnector,way/814351697-400,0.653,51.46,0,,0
330,IED-ELEC1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
331,IED-EWIC1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
332,IED-IFA2,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
333,IED-MOYL1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
334,IED-VKL1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
335,IEG-ELEC1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
336,IEG-EWIC1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
337,IEG-IFA2,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
338,IEG-MOYL1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
339,IEG-VKL1,interconnector,way/371757485-400,-0.0017444,51.5947778,0,,0
340,IFD-ACCE1,interconnector,way/23281217,0.9734,51.105,0,,0
341,IFD-ALEU1,interconnector,way/23281217,0.9734,51.105,0,,0
342,IFD-ALIP1,interconnector,way/23281217,0.9734,51.105,0,,0
343,IFD-ARON1,interconnector,way/23281217,0.9734,51.105,0,,0
344,IFD-BDEN1,interconnector,way/23281217,0.9734,51.105,0,,0
345,IFD-BKWE1,interconnector,way/23281217,0.9734,51.105,0,,0
346,IFD-BNPS1,interconnector,way/23281217,0.9734,51.105,0,,0
347,IFD-BPGE1,interconnector,way/23281217,0.9734,51.105,0,,0
348,IFD-CBST1,interconnector,way/23281217,0.9734,51.105,0,,0
349,IFD-CETL1,interconnector,way/23281217,0.9734,51.105,0,,0
350,IFD-CEZC1,interconnector,way/23281217,0.9734,51.105,0,,0
351,IFD-CGML1,interconnector,way/23281217,0.9734,51.105,0,,0
352,IFD-CNGS1,interconnector,way/23281217,0.9734,51.105,0,,0
353,IFD-CNRE1,interconnector,way/23281217,0.9734,51.105,0,,0
354,IFD-CONS1,interconnector,way/23281217,0.9734,51.105,0,,0
355,IFD-CONV1,interconnector,way/23281217,0.9734,51.105,0,,0
