BusID,bus_name,voltage,x,y,RegionName,color,geometry,index_right,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE
112,relation/9572254-400,400.0,-4.899645176,50.39501306,Indian Queens,green,POINT (-4.899645176 50.39501306),1367.0,UKK30,3.0,UK,Cornwall and Isles of Scilly,Cornwall and Isles of Scilly,4.0,2.0,1.0
113,relation/9598269-275,275.0,-2.043609843,53.49226711,Stalybridge,red,POINT (-2.043609843 53.49226711),1149.0,UKD35,3.0,UK,Greater Manchester South East,Greater Manchester South East,4.0,1.0,2.0
114,relation/9598269-400,400.0,-2.0433476,53.49248623,Stalybridge,green,POINT (-2.0433476 53.49248623),1149.0,UKD35,3.0,UK,Greater Manchester South East,Greater Manchester South East,4.0,1.0,2.0
115,way/100009331-400,400.0,-4.136944788,51.00583239,Alverdiscott,green,POINT (-4.136944788 51.00583239),1495.0,UKK43,3.0,UK,Devon CC,Devon CC,4.0,2.0,1.0
116,way/100077745-275,275.0,-4.463425801,55.57616157,Kilmarnock South,red,POINT (-4.463425801 55.57616157),1326.0,UKM93,3.0,UK,East Ayrshire and North Ayrshire mainland,East Ayrshire and North Ayrshire mainland,4.0,2.0,1.0
117,way/100077745-400,400.0,-4.4631646,55.57638583,Kilmarnock South,red,POINT (-4.4631646 55.57638583),1326.0,UKM93,3.0,UK,East Ayrshire and North Ayrshire mainland,East Ayrshire and North Ayrshire mainland,4.0,2.0,1.0
118,way/100773252-400,400.0,0.506723522,51.51286098,Rayleigh,red,POINT (0.506723522 51.51286098),1174.0,UKH32,3.0,UK,Thurrock,Thurrock,4.0,1.0,1.0
119,way/101077623-275,275.0,-1.48827082,53.40611605,Neepsend,green,POINT (-1.48827082 53.40611605),1398.0,UKE32,3.0,UK,Sheffield,Sheffield,4.0,1.0,2.0
120,way/101077623-400,400.0,-1.488006264,53.406334,Neepsend,red,POINT (-1.488006264 53.406334),1398.0,UKE32,3.0,UK,Sheffield,Sheffield,4.0,1.0,2.0
121,way/101312018-275,275.0,-1.4140985,53.41576404,Thorpe Marsh,red,POINT (-1.4140985 53.41576404),1398.0,UKE32,3.0,UK,Sheffield,Sheffield,4.0,1.0,2.0
122,way/101365758-275,275.0,-3.406983749,51.48693743,Upper Boat,red,POINT (-3.406983749 51.48693743),1102.0,UKL22,3.0,UK,Cardiff and Vale of Glamorgan,Cardiff and Vale of Glamorgan,4.0,1.0,1.0
123,way/102198808-400,400.0,-2.329689325,55.66928737,Eccles,green,POINT (-2.329689325 55.66928737),1325.0,UKM91,3.0,UK,Scottish Borders,Scottish Borders,4.0,3.0,1.0
124,way/102549055-275,275.0,0.114347923,51.52096844,Barking,red,POINT (0.114347923 51.52096844),1485.0,UKI52,3.0,UK,Barking & Dagenham and Havering,Barking & Dagenham and Havering,4.0,1.0,1.0
