id,tech,capacity_mw,abs_year,stage,discount_factor,discounted_pre_dev_per_mw,discounted_construction_per_mw,discounted_fixed_om_per_mw,discounted_variable_om_per_mw,discounted_total_cost_per_mw,discounted_mwh_per_mw,discounted_pre_dev_total,discounted_construction_total,discounted_fixed_om_total,discounted_variable_om_total,discounted_total_cost,discounted_mwh_total,discounted_infra_lump_total
onwind_26688,onshore_wind,15.0,26,operation,0.26766449362365774,0.0,0.0,8217.299954246293,6014.260573027415,14231.560527273708,1002.3767621712359,0.0,0.0,123259.4993136944,90213.90859541122,213473.40790910562,15035.651432568538,0.0
onwind_26688,onshore_wind,15.0,27,operation,0.2544339293000549,0.0,0.0,7811.121629511685,5716.977731014654,13528.09936052634,952.8296218357755,0.0,0.0,117166.82444267526,85754.6659652198,202921.4904078951,14292.444327536632,0.0
onwind_26688,onshore_wind,15.0,28,operation,0.24185734724339814,0.0,0.0,7425.0205603723225,5434.389478150811,12859.410038523132,905.7315796918017,0.0,0.0,111375.30840558483,81515.84217226216,192891.15057784697,13585.973695377026,0.0
onwind_26688,onshore_wind,15.0,29,operation,0.22990242133402866,0.0,0.0,7058.0043349546795,5165.769465922824,12223.773800877503,860.9615776538039,0.0,0.0,105870.0650243202,77486.54198884235,183356.60701316255,12914.423664807058,0.0
onwind_26688,onshore_wind,15.0,30,operation,0.21853842332131998,0.0,0.0,6709.129595964523,4910.427248976068,11619.556844940591,818.4045414960112,0.0,0.0,100636.94393946785,73656.40873464102,174293.35267410887,12276.068122440169,0.0
onwind_26692,onshore_wind,16.4,0,pre_dev,1.0,32500.0,0.0,0.0,0.0,32500.0,0.0,533000.0,0.0,0.0,0.0,533000.0,0.0,0.0
onwind_26692,onshore_wind,16.4,1,pre_dev,0.9505703422053231,30893.536121673,0.0,0.0,0.0,30893.536121673,0.0,506653.9923954372,0.0,0.0,0.0,506653.9923954372,0.0,0.0
onwind_26692,onshore_wind,16.4,2,pre_dev,0.9035839754803451,29366.479203111216,0.0,0.0,0.0,29366.479203111216,0.0,481610.2589310239,0.0,0.0,0.0,481610.2589310239,0.0,0.0
onwind_26692,onshore_wind,16.4,3,pre_dev,0.858920128783598,27914.904185466934,0.0,0.0,0.0,27914.904185466934,0.0,457804.4286416577,0.0,0.0,0.0,457804.4286416577,0.0,0.0
onwind_26692,onshore_wind,16.4,4,construction,0.816464000744865,0.0,449055.2004096758,0.0,0.0,449055.2004096758,0.0,0.0,7364505.286718682,0.0,0.0,7364505.286718682,0.0,1551281.6014152435
onwind_26692,onshore_wind,16.4,5,construction,0.7761064645863736,0.0,426858.5555225055,0.0,0.0,426858.5555225055,0.0,0.0,7000480.310569089,0.0,0.0,7000480.310569089,0.0,1474602.2827141099
onwind_26692,onshore_wind,16.4,6,operation,0.7377437876296327,0.0,0.0,22648.734280229724,16576.660261765268,39225.39454199499,2762.7767102942116,0.0,0.0,371439.24219576747,271857.22829295037,643296.4704887178,45309.53804882507,0.0
onwind_26692,onshore_wind,16.4,7,operation,0.7012773646669512,0.0,0.0,21529.215095275402,15757.281617647595,37286.496712923,2626.213602941266,0.0,0.0,353079.12756251654,258419.41852942054,611498.5460919371,43069.90308823676,0.0
onwind_26692,onshore_wind,16.4,8,operation,0.666613464512311,0.0,0.0,20465.033360527945,14978.40457951292,35443.437940040865,2496.4007632521534,0.0,0.0,335626.54711265827,245645.83510401187,581272.3822166701,40940.972517335314,0.0
onwind_26692,onshore_wind,16.4,9,operation,0.6336629890801434,0.0,0.0,19453.4537647604,14238.027166837375,33691.480931597776,2373.004527806229,0.0,0.0,319036.64174207055,233503.64553613294,552540.2872782035,38917.27425602215,0.0
onwind_26692,onshore_wind,16.4,10,operation,0.6023412443727599,0.0,0.0,18491.87620224373,13534.246356309293,32026.122558553023,2255.707726051549,0.0,0.0,303266.76971679716,221961.6402434724,525228.4099602696,36993.606707245395,0.0
onwind_26692,onshore_wind,16.4,11,operation,0.5725677227877946,0.0,0.0,17577.82908958529,12865.253190408072,30443.082279993363,2144.208865068012,0.0,0.0,288276.3970691988,210990.15232269236,499266.5493918911,35165.0253871154,0.0
onwind_26692,onshore_wind,16.4,12,operation,0.5442658961861164,0.0,0.0,16708.963012913773,12229.328127764325,28938.2911406781,2038.2213546273874,0.0,0.0,274026.99341178586,200560.98129533493,474587.9747071208,33426.83021588915,0.0
onwind_26692,onshore_wind,16.4,13,operation,0.5173630191883236,0.0,0.0,15883.044689081535,11624.83662335012,27507.881312431655,1937.4727705583532,0.0,0.0,260481.93290093716,190647.32062294194,451129.2535238791,31774.55343715699,0.0
onwind_26692,onshore_wind,16.4,14,operation,0.49178994219422395,0.0,0.0,15097.951225362674,11050.224927138896,26148.176152501568,1841.7041545231493,0.0,0.0,247606.40009594784,181223.68880507787,428830.0889010257,30203.948134179645,0.0
onwind_26692,onshore_wind,16.4,15,operation,0.46748093364469956,0.0,0.0,14351.664662892277,10504.016090436213,24855.68075332849,1750.6693484060354,0.0,0.0,235367.30047143332,172265.86388315388,407633.16435458715,28710.977313858977,0.0
onwind_26692,onshore_wind,16.4,16,operation,0.44437351106910605,0.0,0.0,13642.266789821555,9984.806169616173,23627.072959437726,1664.1343616026952,0.0,0.0,223733.1753530735,163750.82118170522,387483.9965347787,27291.8035302842,0.0
onwind_26692,onshore_wind,16.4,17,operation,0.422408280483941,0.0,0.0,12967.934210856989,9491.260617505865,22459.19482836285,1581.8767695843108,0.0,0.0,212674.1210580546,155656.67412709616,368330.79518515075,25942.779021182694,0.0
onwind_26692,onshore_wind,16.4,18,operation,0.40152878372998196,0.0,0.0,12326.933660510445,9022.110853142458,21349.0445136529,1503.6851421904096,0.0,0.0,202161.7120323713,147962.6179915363,350124.33002390753,24660.436331922716,0.0
onwind_26692,onshore_wind,16.4,19,operation,0.3816813533554962,0.0,0.0,11717.617548013734,8576.151001085987,20293.76854909972,1429.3585001809977,0.0,0.0,192168.9277874252,140648.87641781018,332817.8042052354,23441.47940296836,0.0
onwind_26692,onshore_wind,16.4,20,operation,0.3628149746725249,0.0,0.0,11138.419722446513,8152.234791906831,19290.654514353344,1358.7057986511384,0.0,0.0,182670.0834481228,133696.65058727202,316366.7340353948,22282.775097878668,0.0
onwind_26692,onshore_wind,16.4,21,operation,0.34488115463167757,0.0,0.0,10587.851447192501,7749.2726158810165,18337.12406307352,1291.5454359801693,0.0,0.0,173640.763733957,127088.07090044866,300728.8346344057,21181.345150074772,0.0
onwind_26692,onshore_wind,16.4,22,operation,0.3278337971784007,0.0,0.0,10064.497573376902,7366.2287223203575,17430.72629569726,1227.704787053393,0.0,0.0,165057.76020338119,120806.15104605386,285863.91124943504,20134.358507675643,0.0
onwind_26692,onshore_wind,16.4,23,operation,0.3116290847703429,0.0,0.0,9567.012902449527,7002.118557338743,16569.13145978827,1167.019759556457,0.0,0.0,156899.01160017223,114834.74434035538,271733.7559405276,19139.124056725894,0.0
onwind_26692,onshore_wind,16.4,24,operation,0.2962253657512765,0.0,0.0,9094.118728564188,6656.006233211732,15750.12496177592,1109.3343722019554,0.0,0.0,149143.54714845266,109158.5022246724,258302.04937312508,18193.083704112065,0.0
onwind_26692,onshore_wind,16.4,25,operation,0.28158304729208794,0.0,0.0,8644.5995518671,6327.0021228248415,14971.601674691941,1054.50035380414,0.0,0.0,141771.43265062044,103762.83481432739,245534.26746494783,17293.805802387895,0.0
onwind_26692,onshore_wind,16.4,26,operation,0.26766449362365774,0.0,0.0,8217.299954246293,6014.260573027415,14231.560527273708,1002.3767621712359,0.0,0.0,134763.7192496392,98633.8733976496,233397.5926472888,16438.978899608268,0.0
