Project name,country,status,Product,latitude,longitude,capacity_MWel,Capacity_Nm?? H???/h,Capacity_kt H2/y
Queensland Nitrates Renewable Hydrogen and Ammonia,AUS,Feasibility study,Ammonia,-24.50671888,149.9744385,30,6667,5.2
Hemweg hub Amsterdam - Hy4Am,NLD,Feasibility study,H2,52.36610168,5.034774033,10,2222,1.7
Weifang Binhai Photovoltaic 100MW Hydrogen Generation Project,CHN,Concept,H2,36.86649041,119.208905,,,
"GreenH2UB (10 hubs of 3-10MW, the first one Ref786)",NLD,Feasibility study,H2,51.376054,5.461407,95,21111,16.5
Vall??e Hydrog??ne Grand Ouest (VHyGO) - H2 Ouest (Phase 1),FRA,Operational,H2,46.93631592,-2.069927077,0.75,163,0.1
Vall??e Hydrog??ne Grand Ouest (VHyGO) - EffiH2,FRA,Operational,H2,47.65850999,-2.763749947,1,222,0.2
H2SusBuild / RES-H2,GRC,DEMO,H2,0,0,0.018,4,0
"Ferrolterra plant, pahse 1",ESP,Feasibility study,H2,43.457355,-7.947904,20,3846,3
ELYGRID (R&D),ESP,DEMO,H2,0,0,2.6,565,0.4
Aviation synfuels,PRT,Feasibility study,Synfuels,0,0,68.525,13178,10.3
Tapada do Outeiro natural gas power plant ,PRT,Feasibility study,H2,41.06771113,-8.459700346,15,3333,2.6
Lingen Green Hydrogen (LGH2) Phase 1,DEU,Feasibility study,H2,52.55860477,7.310193321,100,22222,17.3
Wunsiedel Energy Park (Phase 1),DEU,Operational,H2,50.04225873,12.03042693,8.8,1692,1.3
Wunsiedel Energy Park (Phase 2),DEU,Concept,H2,50.04225873,12.03042693,26.679,5131,4
Methane Synthesis test facility in Koshijihara Plant of INPEX?€?s - Nagaoa,JPN,Operational,CH4,0,0,0.072,16,0
Hydrogen Island Aitutaki,COK,DEMO,H2,0,0,0.055,12,0
Hydrogen Island Bozcaada,TUR,DEMO,H2,0,0,0.055,12,0
E-Thor,NLD,Feasibility study,MeOH,0,0,5,1111,0.9
H??? Air Base Leeuwarden,NLD,Feasibility study,H2,53.20103354,5.803054577,5,1111,0.9
SEE / Storage of electric energy,DEU,DEMO,CH4,0,0,0.006,1,0
New zealand Matiu/Somes Island,NZL,DEMO,H2,0,0,0.0012,0,0
Vend??e hydrog??ne,FRA,DEMO,H2,0,0,3.4,756,0.6
H2One - SP Group,SGP,Operational,H2,0,0,0.005,1,0
RESelyser (R&D),DEU,DEMO,H2,0,0,0.001,0,0
DVGW-EBI KIT - Demo-SNG,DEU,DEMO,CH4,0,0,,,
Multiphly,NLD,Operational,H2,51.96820553,4.034828645,2.5,658,0.5
Semakau island microgrid Engie (SPORE),SGP,Operational,H2,0,0,,,
"PostBus Hydrogen bus, Brugg, aargau CHIC",CHE,DEMO,H2,0,0,0.276,60,0
Emden I Biogas upgrading,DEU,DEMO,CH4,0,0,0.312,68,0.1
PtG Switzerland,CHE,Operational,CH4,47.40165693,8.395091995,2.5,481,0.4
MYRTE,FRA,DEMO,H2,41.94589876,8.992929744,0.11,21,0
H2OzBus Project,AUS,Concept,H2,0,0,2,385,0.3
"Sunfire PtL demo ""Fuel1""",DEU,DEMO,Synfuels,0,0,0.038,10,0
Hyport - Toulouse-Blagnac Airport,FRA,Operational,H2,43.62943289,1.368626138,2,435,0.3
DEMETER,FRA,DEMO,Various,0,0,,,
Ekolyser (R&D),DEU,DEMO,,0,0,,,
LastEISys (R&D),DEU,DEMO,,0,0,,,
PtG-Elektrolyse im MW-Ma??stab (R&D),DEU,DEMO,CH4,0,0,0.3,65,0.1
