name,type,status,country,latitude,longitude,injection
FuturGas Project,Capture & Storage,Hold,Australia,-36.66844559,139.9955444,"2,055"
Duke Energy - Edwardsport Plant,Capture & Storage,Hold,United States,38.80667877,-87.24694824,70
Duke Energy - Cliffside Plant,Capture & Storage,Hold,United States,35.219122,-81.761418,90
Datang Daqing CCS Project,Capture & Storage,Hold,China,46.576277,125.228479,"2,740"
Coastal Energy IGCC Project (Teesside),Capture & Storage,Hold,United Kingdom,54.575354,-1.127528,"6,302"
Cash Creek IGCC,Capture & Storage,Hold,United States,37.843695,-87.590435,
Captain Clean Energy Project,Capture & Storage,Hold,Scotland,56.014195,-3.692054,"10,412"
Bow City Power Project,Capture & Storage,Hold,Canada,50.426664,-112.218873,"2,740"
Bintulu CCS Project,Capture & Storage,Hold,Malaysia,3.25,113.12,"8,220"
Bent County IGCC Plant,Capture & Storage,Hold,United States,37.8567,-103.1112,"4,200,000"
Belle Plaine Polygen Capture (for EOR),Capture & Storage,Hold,Canada,50.395646,-105.153207,"2,740"
Aalborg - Northern Jutland Power Station Project,Capture & Storage,Hold,Denmark,57.073957,10.040272,"4,932"
Sargas Natural Gas CCS,Capture,Hold,Norway,62.980253,6.964092,
RWE CCS Eemshaven,Capture,Hold,Netherlands,53.442813,6.850781,"3,288"
DKRW Energy LLC,Capture,Hold,United States,41.896108,-106.20491,
Bulgarian TETs Maritsa East 2,Capture,Hold,Bulgaria,42.255494,26.131763,"3,600,000"
American Electric Power - Northeastern Station,Capture,Hold,United States,36.430797,-95.700805,"4,110"
American Electric Power - Great Bend IGCC,Capture,Hold,United States,38.927706,-81.768613,
Alberta Saline Aquifer Project & Genesee Demonstration Project,Capture,Hold,Canada,53.343584,-114.303553,"2,740"
ZeroGen Project,Capture & Storage,Terminated,Australia,-23.510207,150.319062,"1,151"
Wallula IGCC Plant,Capture & Storage,Terminated,United States,46.102622,-118.918573,65
Vattenfall Janschwalde,Capture & Storage,Terminated,Germany,51.8334245,14.4720226,"4,658"
Vales Point Power Station CCS Demonstration,Capture & Storage,Terminated,Australia,-33.161057,151.542996,
Trailblazer Energy Center,Capture & Storage,Terminated,United States,32.525131,-100.262633,"15,755"
Swan Hills in-situ Coal Gasification/Sagitawah Power Project,Capture & Storage,Terminated,Canada,54.565619,-115.731991,"3,562"
Surat Basin CCS Project,Capture & Storage,Terminated,Australia,-25.067967,148.595423,"6,850"
Summit Energy - Texas Clean Energy Project (TCEP),Capture & Storage,Terminated,United States,31.74604,-102.608324,"6,302"
Scottish Power - Longannet CCS,Capture & Storage,Terminated,Scotland,56.04833,-3.68249,
Scottish Power - Longannet Biomass Power,Capture & Storage,Terminated,Scotland,56.04833,-3.68249,
Schwarze Pumpe (Vattenfall CO2-Free Oxyfuel Plant),Capture & Storage,Terminated,Germany,51.531127,14.351916,216
SaskPower Oxyfuel,Capture & Storage,Terminated,Canada,49.088206,-102.864847,"8,000"
Saline Joniche SEI,Capture & Storage,Terminated,Italy,37.93491,15.725314,0
RWE nPower - Tilbury Project in UK,Capture & Storage,Terminated,United Kingdom,51.456074,0.38857,90
PureGen project,Capture & Storage,Terminated,United States,40.608355,-74.219695,90
Pioneer Project,Capture & Storage,Terminated,Canada,53.447382,-114.449536,"2,740"
Pernis Refinery Project,Capture & Storage,Terminated,Netherlands,51.881705,4.359552,"1,096"
NRG Energy Inc. (Huntley IGCC Project),Capture & Storage,Terminated,United States,43.017819,-78.88077,65
