ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
0,https://www.gem.wiki/Port_Phillip_Bay_FSRU,Port Phillip Bay FSRU,Import,Proposed,Australia,4.7,mtpa,6.39,2026,Avalon,Victoria,-37.847216,144.9301,--,2024-05-21
0,https://www.gem.wiki/Geelong_FSRU,Geelong FSRU Terminal,Import,Proposed,Australia,2.5,mtpa,3.4,2024,Geelong,Victoria,-34.495401,137.481029,181593000,2024-05-21
1,https://www.gem.wiki/Chernomorsky_LNG_Terminal,Chernomorsky LNG Terminal,Export,Shelved,Russia,1.5,mtpa,2.04,2025,,Krasnodar Krai,44.15086521,39.0370808,2000000000,2024-04-19
1,https://www.gem.wiki/Vista_Pacifico_LNG_Terminal,Vista Pacifico LNG Terminal,Export,Proposed,Mexico,3,mtpa,4.08,2025,Topolobampo,Sinaloa,25.581941,-109.059196,--,2024-09-03
1,https://www.gem.wiki/Delta_LNG_Terminal,Delta LNG Terminal,Export,Proposed,United States,11.3,mtpa,15.37,2024,Plaquemines Parish,Louisiana,29.597258,-89.872471,--,2024-07-08
2,https://www.gem.wiki/Delta_LNG_Terminal,Delta LNG Terminal,Export,Proposed,United States,11.3,mtpa,15.37,2025,Plaquemines Parish,Louisiana,29.597258,-89.872471,--,2024-07-08
1,https://www.gem.wiki/West_Delta_LNG_Deepwater_Port_Terminal,West Delta LNG Deepwater Port Terminal,Export,Proposed,United States,6.1,mtpa,8.3,2026,Plaquemines Parish,Louisiana,29.067,-89.656,--,2024-07-08
0,https://www.gem.wiki/Terg%C3%A1s_LNG_Terminal,Tergás Rio Grande LNG Terminal,Import,Shelved,Brazil,2.19,bcm/y,2.19,2026,Rio Grande,Rio Grande do Sul,-32.118353,-52.106161,--,2024-09-03
0,https://www.gem.wiki/Ilo_LNG_Terminal,Ilo LNG Terminal,Export,Shelved,Peru,,,--,--,Ilo,Ilo,-17.647268,-71.347902,--,2024-09-03
0,https://www.gem.wiki/South_West_FSRU,South West FSRU,Import,Cancelled,Vietnam,1,mtpa,1.36,2030,,Trà Vinh Province,9.571215183,106.5186744,--,2024-07-16
0,https://www.gem.wiki/Dioriga_FSRU,Dioriga FSRU,Import,Proposed,Greece,2.6,bcm/y,2.6,2023,Gulf of Corinth,,37.91092,23.063539,327000000,2024-07-26
1,https://www.gem.wiki/Yakutia_LNG_Project,Yakutia LNG Project,Export,Proposed,Russia,4.5,mtpa,6.12,2027,Ayan town,Khabarovsk Krai,56.46027167,138.1529212,0,2024-04-24
2,https://www.gem.wiki/Yakutia_LNG_Project,Yakutia LNG Project,Export,Proposed,Russia,4.5,mtpa,6.12,--,Ayan town,Khabarovsk Krai,56.46027167,138.1529212,0,2024-04-24
0,https://www.gem.wiki/Qushan_LNG_Terminal,Qushan LNG Terminal,Import,Proposed,China,3,mtpa,4.08,--,Qushan Island,Zhejiang,30.427224,122.351978,1072000000,2023-02-07
