Ref,Project name,Country,Status,Technology,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,Operational,PEM,Other/unknown,,H2,,,,,,,1,,,,,,,,1,192,0.1,,[407],0,0,Electrolysis,0.57,,,,,
74,H2ORIZON,DEU,Operational,PEM,Other/unknown,,H2,,,,,,1,1,,1,,,,,,0.8,154,0.1,,"[31], [137], [138] [409]",49.2644733,9.401743,Electrolysis,0.57,,,,,
75,ASKO Midt-Norge,NOR,Operational,ALK,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.7,152,0.1,,[476],63.34327247,10.37333,Electrolysis,0.3,,,,,
76,Underground Sun Conversion,AUT,Operational,ALK,Dedicated renewable,Solar PV,CH4,,,,,,,,,,,,,1,,0.6,130,0.1,,[399],47.99027408,13.55381783,Electrolysis,0.3,,,,,
77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,Operational,PEM,Dedicated renewable,Onshore wind,H2,,,,,,1,1,1,,,,,,,0.7,135,0.1,,[371] [383],59.1649151,-2.788356039,Electrolysis,0.4,,,,,
80,"Windgas Haurup, 1st phase",DEU,Operational,PEM,Dedicated renewable,Onshore wind,H2,,,,,,,,1,,,,,,,0.225,43,0.0,,[440],54.72670653,9.347591285,Electrolysis,0.4,,,,,
82,"Troia,  STORE&GO",ITA,Operational,PEM,Grid,,CH4,,,,,,,,,,,,,1,,0.2,38,0.0,,[372],0,0,Electrolysis,0.57,,,,,
83,GNVert H2 ,FRA,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,0.192,37,0.0,,[392],48.7494007,2.350108197,Electrolysis,0.57,,,,,
85,Tongji solar hybrid hydrogen refueling station,CHN,Operational,Other Electrolysis,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.113,25,0.0,,,31.25068451,121.4364995,Electrolysis,0.3,,,,,
87,Methanation at Eichhof,DEU,Operational,PEM,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.05,10,0.0,,,0,0,Electrolysis,0.57,,,,,
88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,Operational,SOEC,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.033,9,0.0,,"[120], [202], [203] [402]",0,0,Electrolysis,0.57,,,,,
89,REFLEX,ITA,Operational,SOEC,Other/unknown,,H2,,,,,,,1,,,,,,,,0.038,10,0.0,,[401],0,0,Electrolysis,0.57,,,,,
90,Sendai City,JPN,Operational,PEM,Other/unknown,,H2,,,,,,,1,,,,,,,,0.025,5,0.0,,[403],0,0,Electrolysis,0.57,,,,,
92,"Rostock, Exytron Demonstrationsanlage",DEU,Operational,ALK,Grid,,CH4,,,,,,,,,,,,,1,,0.018,4,0.0,,"[2], [165] [373]",0,0,Electrolysis,0.57,,,,,
93,Tokyu Construction Institute of Technology,JPN,Operational,PEM,Other/unknown,,H2,,,,,,,1,,,,,,,,0.005,1,0.0,,[543],0,0,Electrolysis,0.57,,,,,
94,Rakuten Seimei Park Miyagi,JPN,Operational,PEM,Other/unknown,,H2,,,,,,,,,1,,,,,,0.005,1,0.0,,,0,0,Electrolysis,0.57,,,,,
95,"MicroPyros, Altenstant",DEU,Operational,Other Electrolysis,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.001,0,0.0,,[384],0,0,Electrolysis,0.57,,,,,
96,Oxelösund Forklifts,SWE,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,,,,,[404],0,0,Electrolysis,0.57,,,,,
97,H21 Leeds City Gate - Teesside hydrogen,GBR,Concept,NG w CCUS,,,H2,1,,,,1,1,,1,,,,,,,,3890730,3033.4,15000000,[269] [302] [1121],54.57668992,-1.252393053,Fossil fuels with CCUS,0.9,,,,,
111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,Feasibility study,NG w CCUS,,,H2,1,,,,1,1,1,1,,,,,,,,115438,90.0," 650,000 ","[300], [709]",53.27703121,-2.841869148,Fossil fuels with CCUS,0.9,,,,,
113,"Baicheng, Jilin wind-solar project",CHN,Concept,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,11543.789,2565287,2000.0,,[773],45.66828885,122.8463801,Electrolysis,0.5,,,,,
115,"Alzey, Exytron Null-E",DEU,Operational,ALK,Other/unknown,,H2,,,,,,,1,,1,,,,,,0.0625,14,0.0,,"[2], [166], [167] [409]",0,0,Electrolysis,0.57,,,,,
119,Energy observer,FRA,Operational,PEM,Other/unknown,,H2,,,,,,1,1,,,,,,,,0.047,9,0.0,,[250] [365],0,0,Electrolysis,0.57,,,,,
120,Haldor Topsoe - El-Opgraderet Biogas II,DNK,DEMO,SOEC,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.038,10,0.0,,[126],55.82093676,12.54037049,Electrolysis,0.57,,,,,
121,Musashi-Mizonokuchi Station,JPN,Operational,PEM,Other/unknown,,H2,,,,,,,1,,,,,,,,0.005,1,0.0,,[282],0,0,Electrolysis,0.57,,,,,
122,"H2One - Hydrogen Application Center, Fuchu Complex",JPN,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,0.005,1,0.0,,[553],0,0,Electrolysis,0.57,,,,,
123,H2One - Asahi Breweries in Ibaraki,JPN,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,0.005,1,0.0,,[555],0,0,Electrolysis,0.57,,,,,
124,Costa Rica Transportation Ecosystem Project,CRI,Operational,PEM,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,0.005,1,0.0,,,10.42109784,-85.42096886,Electrolysis,0.5,,,,,
125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,CHL,Operational,Other Electrolysis,Dedicated renewable,Others/Various,H2,,,,,,,1,,,,,,,,0.05,11,0.0,,"[108], [199] [410]",-21.22472701,-68.25178996,Electrolysis,0.5,,,,,
126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",DEU,DEMO,PEM,Other/unknown,,H2,,,,,,,1,,,,,,,,,,,,,0,0,Electrolysis,0.57,,,,,
127,Hassfurt,DEU,Operational,PEM,Grid,,H2,,,,,,,1,1,1,,,,,,1.25,240,0.2,,[2] [7] [380] [737],0,0,Electrolysis,0.57,,,,,
130,GreenHydroChem Central German Chemical Triangle,DEU,Feasibility study,PEM,Other/unknown,,H2,1,,,,1,,1,,,,,,,,120,23077,18.0,,[473],51.43777627,12.04669172,Electrolysis,0.57,,,,,
134,HPEM2GAS (R&D),DEU,Operational,PEM,Other/unknown,,H2,,,,,,,,1,,,,,,,0.2,38,0.0,,[119][200],0,0,Electrolysis,0.57,,,,,
135,Hamburg - Schnackenburgallee,DEU,Operational,PEM,Grid,,H2,,,,,,1,,,,,,,,,0.185,36,0.0,,[2][7][45],53.56142698,9.977259977,Electrolysis,0.57,,,,,
136,smart grid solar - arzberg,DEU,DEMO,PEM,Dedicated renewable,Solar PV,H2,,,,,,,1,1,,,,,,,0.075,14,0.0,,[242],50.05984314,12.19113719,Electrolysis,0.3,,,,,
137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",USA,DEMO,SOEC,Other/unknown,,H2,,,,,,,1,,,,,,,,0.05,13,0.0,,[477],0,0,Electrolysis,0.57,,,,,
138,Laboratory System at IFE Kjeller Pahse 2,NOR,Operational,PEM,Other/unknown,,H2,,,,,,,1,,,,,,,,0.010,2,0.0,,"[1], [5] [468]",0,0,Electrolysis,0.57,,,,,
139,"H2One - Kyushu Resort Hotel,  Huis Ten Bosch",JPN,Operational,PEM,Grid,,H2,,,,,,,1,,,,,,,,0.005,1,0.0,,[551],0,0,Electrolysis,0.57,,,,,
140,H2One - Yokohama Cargo Center,JPN,Operational,PEM,Grid,,H2,,,,,,,1,,,,,,,,0.005,1,0.0,,[552],0,0,Electrolysis,0.57,,,,,
142,WindGas Hamburg-Reitbrook,DEU,DEMO,PEM,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,1.5,288,0.2,,[1] [2] [4] [7] [8] [9] [34],53.46684592,10.13834597,Electrolysis,0.4,,,,,
143,"RH2 Grapzow, Mecklenburg Vorpommern",DEU,Operational,ALK,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,1,217,0.2,,[386] [737],53.71192125,13.29163746,Electrolysis,0.4,,,,,
146,P2G-Biocat - Continued (Ref 508),DNK,Operational,ALK,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.5,109,0.1,,[3] [4] [7],0,0,Electrolysis,0.57,,,,,
147,Raglan Nickel mine,CAN,DEMO,ALK,Other/unknown,,H2,,,,,,,1,,,,,,,,0.276,60,0.0,,"[4], [109], [214]",0,0,Electrolysis,0.57,,,,,
