type,latitude,longitude,capacity_mw
Hydro,-28.352,-52.204,3.76
Hydro,-22.658,-51.3598,619.0
Hydro,-28.1156,-48.966,18.09
Biomass,-9.3335,-36.1501,2.4
Hydro,-21.85,-47.7833,4.3
Biomass,-12.7418,-55.6773,9.696
Hydro,-21.0556,-44.2094,4.234
Hydro,-20.7019,-42.0394,15.0
Biomass,-20.7978,-51.6318,6.0
Biomass,-18.8483,-48.2765,25.0
Hydro,-27.6206,-53.8047,9.0
Biomass,-20.2304,-50.3345,7.92
Hydro,-15.3636,-55.4453,3.52
Hydro,-15.3576,-55.4553,12.42
Hydro,-12.7139,-60.8717,9.6
Hydro,-27.35,-52.7667,1.2
Hydro,-13.0839,-60.6222,1.844
Hydro,-13.1517,-60.6567,1.48
Hydro,-29.0083,-51.3792,130.845
Biomass,-21.1254,-48.8248,9.0
Biomass,-21.0966,-48.9335,75.0
Hydro,-24.5972,-49.135,4.0
Hydro,-27.8156,-50.4803,3.829
Hydro,-25.4936,-52.2128,1.26
Hydro,-25.4933,-52.225,19.008
Hydro,-29.0167,-50.7167,9.1
Hydro,-28.7055,-51.8506,22.5
Hydro,-18.5294,-51.15,65.0
Biomass,-18.6013,-51.1913,130.0
Hydro,-26.7578,-52.2578,5.6
Biomass,-26.9416,-51.7466,4.9
Biomass,-19.216,-42.4745,100.0
Biomass,-21.1112,-47.8166,9.0
Hydro,-22.7392,-46.9075,2.25
Hydro,-26.9197,-50.4114,1.557
Biomass,-7.4176,-35.2441,25.0
Biomass,-30.54,-52.5125,1.8
Biomass,-23.1627,-54.3845,4.0
Biomass,-8.1096,-35.0039,5.0
Biomass,-19.9183,-49.1458,54.0
Hydro,-12.2698,-61.1862,7.0
Biomass,-20.7478,-47.4218,54.0
Hydro,-25.8153,-49.0606,18.0
Biomass,-21.1994,-50.1965,92.0
Hydro,-23.1286,-49.7314,414.0
Hydro,-21.8881,-48.1472,2.6
Hydro,-12.5694,-60.8928,1.27
Hydro,-13.37,-59.0126,17.0
Biomass,-21.5947,-48.3636,7.0
Biomass,-21.134,-48.9635,19.824
Biomass,-21.578,-50.4216,11.2
Biomass,-21.8503,-50.2472,45.0
Hydro,0.9031,-51.2592,76.952
Hydro,-19.5319,-42.7672,10.0
Biomass,-22.47,-50.7793,28.2
Biomass,-22.5268,-51.494,131.3
Biomass,-23.4303,-51.9774,13.0
Biomass,-15.2714,-49.158,48.0
Hydro,-20.1517,-43.8842,1.944
Biomass,-22.8892,-51.3931,4.0
