id,tech,capacity_mw,lcoe_per_mwh,pv_total_costs,pv_generation_mwh,pv_pre_capex_per_mw,pv_construction_capex_per_mw,pv_fixed_opex_per_mw,pv_variable_opex_per_mw,pv_pre_capex,pv_construction_capex,pv_fixed_opex,pv_variable_opex,pv_infra,lcoe_pre,lcoe_cons,lcoe_fixed,lcoe_var,lcoe_infra,lcoe_fuel,lcoe_carbon,capex_df,build_years
biomass_1103,biomass,37.0,65.0836913325656,140750485.2447377,2162607.595895703,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4463076.321225588,90524927.3101435,30241944.120687634,15138253.171269922,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840186,7.0,0.17677008169979425,0.0,0.0,0.7709439463628691,5
biomass_1162,biomass,140.0,64.95363905817219,531505206.7339984,8182839.552037796,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,16887315.81004277,342526751.9843268,114428977.7539532,57279876.86426456,382284.321411079,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.04671780730637419,0.0,0.0,0.7709439463628691,5
biomass_1163,biomass,140.0,64.95363905817219,531505206.7339984,8182839.552037796,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,16887315.81004277,342526751.9843268,114428977.7539532,57279876.86426456,382284.321411079,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.04671780730637419,0.0,0.0,0.7709439463628691,5
biomass_1164,biomass,140.0,64.95363905817219,531505206.7339984,8182839.552037796,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,16887315.81004277,342526751.9843268,114428977.7539532,57279876.86426456,382284.321411079,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.04671780730637419,0.0,0.0,0.7709439463628691,5
biomass_1185,biomass,40.0,65.07043357643812,152131690.72500744,2337954.1577250846,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4824947.374297934,97864786.28123623,32693993.643986627,16365679.10407559,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0,0.7709439463628691,5
biomass_1186,biomass,55.0,65.02583930582749,209037718.12635607,3214686.9668719913,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,6634302.639659658,134564081.1366998,44954241.26048162,22502808.768103935,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.11891805496167974,0.0,0.0,0.7709439463628691,5
biomass_1259,biomass,42.0,65.06264727522041,159719161.0451873,2454851.8656113385,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5066194.74301283,102758025.59529804,34328693.326185964,17183963.05927937,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840186,7.000000000000001,0.15572602435458063,0.0,0.0,0.7709439463628691,5
biomass_1273,biomass,40.0,65.07043357643812,152131690.72500744,2337954.1577250846,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4824947.374297934,97864786.28123623,32693993.643986627,16365679.10407559,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0,0.7709439463628691,5
biomass_1394,biomass,62.0,65.0124130738157,235593864.24698544,3623828.944473881,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,7478668.4301617965,151690418.73591614,50675690.14817928,25366802.611317165,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1054918229498772,0.0,0.0,0.7709439463628691,5
biomass_1400,biomass,60.0,65.01592946791402,228006393.92680565,3506931.236587627,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,7237421.0614469005,146797179.42185435,49040990.46597994,24548518.656113386,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.10900821704820644,0.0,0.0,0.7709439463628691,5
