bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
CH25-220,220,f,Substation,f,CH25,8.300573326013273,46.64490691155125,CH,POINT (8.300573326013273 46.64490691155125)
CH26-220,220,f,Substation,f,CH26,8.553275959953941,46.62345494349903,CH,POINT (8.553275959953941 46.62345494349903)
CH27-220,220,f,Substation,f,CH27,8.307465191938903,46.61827936537701,CH,POINT (8.307465191938903 46.61827936537701)
CH28-220,220,f,Substation,f,CH28,8.561304500000007,46.612461191790615,CH,POINT (8.561304500000007 46.612461191790615)
CH29-220,220,f,Substation,f,CH29,9.61142265835349,46.58193762850617,CH,POINT (9.61142265835349 46.58193762850617)
CH29-380,380,f,Substation,f,CH29,9.61169774316021,46.58212964674907,CH,POINT (9.61169774316021 46.58212964674907)
CH3-220,220,f,Substation,f,CH3,8.720390733664873,47.44685624831833,CH,POINT (8.720390733664873 47.44685624831833)
CH30-380,380,f,Substation,f,CH30,9.917665999999992,46.56862939176091,CH,POINT (9.917665999999993 46.56862939176091)
CH31-220,220,f,Substation,f,CH31,6.560242900000007,46.56229679175663,CH,POINT (6.560242900000007 46.56229679175663)
CH32-220,220,f,Substation,f,CH32,8.94427739999999,46.53467799173789,CH,POINT (8.94427739999999 46.53467799173789)
CH33-380,380,f,Substation,f,CH33,9.885643100000005,46.52612579173206,CH,POINT (9.885643100000003 46.52612579173206)
CH34-220,220,f,Substation,f,CH34,8.315100142930977,46.49789837986062,CH,POINT (8.315100142930977 46.49789837986062)
CH34-380,380,f,Substation,f,CH34,8.31537010459449,46.498093686763454,CH,POINT (8.31537010459449 46.498093686763454)
CH35-220,220,f,Substation,f,CH35,8.473317399999997,46.48875169170661,CH,POINT (8.473317399999997 46.488751691706604)
CH36-220,220,f,Substation,f,CH36,8.345911817931027,46.48402295338908,CH,POINT (8.345911817931027 46.48402295338908)
CH37-380,380,f,Substation,f,CH37,9.91567050000001,46.48232639170228,CH,POINT (9.91567050000001 46.48232639170228)
CH38-220,220,f,Substation,f,CH38,8.412662400000002,46.4773330916989,CH,POINT (8.412662400000002 46.4773330916989)
CH39-220,220,f,Substation,f,CH39,8.377911700000002,46.47354669169631,CH,POINT (8.377911700000002 46.473546691696306)
CH4-220,220,f,Substation,f,CH4,9.4308717,47.434850092329576,CH,POINT (9.430871699999999 47.434850092329576)
CH40-220,220,f,Substation,f,CH40,8.452100799999993,46.46114219168781,CH,POINT (8.452100799999993 46.46114219168781)
CH41-380,380,f,Substation,f,CH41,9.217223699999993,46.42086779166025,CH,POINT (9.217223699999993 46.42086779166025)
CH42-220,220,f,Substation,f,CH42,8.646432700000005,46.41078269165339,CH,POINT (8.646432700000005 46.41078269165339)
CH43-220,220,f,Substation,f,CH43,7.285690599999993,46.379313191631766,CH,POINT (7.285690599999993 46.379313191631766)
CH44-220,220,f,Substation,f,CH44,7.295270499999999,46.352076391613046,CH,POINT (7.295270499999999 46.352076391613046)
CH45-220,220,f,Substation,f,CH45,9.515274700000008,46.335742191601824,CH,POINT (9.515274700000008 46.335742191601824)
CH46-220,220,f,Substation,f,CH46,8.009960118485868,46.33259394514109,CH,POINT (8.009960118485868 46.33259394514109)
CH47-220,220,f,Substation,f,CH47,7.909083200000005,46.300225691577296,CH,POINT (7.909083200000005 46.300225691577296)
CH48-225,225,f,Substation,f,CH48,6.8250681999999925,46.26525589155308,CH,POINT (6.8250681999999925 46.26525589155308)
CH49-225,225,f,Substation,f,CH49,6.850324000000004,46.25861799154848,CH,POINT (6.850324000000004 46.25861799154848)
CH5-220,220,f,Substation,f,CH5,8.356080200000006,47.41755149231857,CH,POINT (8.356080200000006 47.41755149231857)
CH50-220,220,f,Substation,f,CH50,9.015880900000004,46.24290219153763,CH,POINT (9.015880900000004 46.24290219153763)
CH51-220,220,f,Substation,f,CH51,6.051492201497887,46.23839046846638,CH,POINT (6.0514922014978865 46.23839046846638)
CH51-225,225,f,Substation,f,CH51,6.051506218893564,46.23819971567557,CH,POINT (6.0515062188935635 46.23819971567557)
CH51-400,400,f,Substation,f,CH51,6.05176661129018,46.23840060986606,CH,POINT (6.05176661129018 46.23840060986606)
CH52-220,220,f,Substation,f,CH52,6.117405408228587,46.23591415500917,CH,POINT (6.117405408228587 46.23591415500917)
CH53-225,225,f,Substation,f,CH53,6.982624699999996,46.22439339152478,CH,POINT (6.982624699999996 46.22439339152478)
CH56-220,220,f,Substation,f,CH56,8.849396000001034,46.19414814150638,CH,POINT (8.849396000001034 46.19414814150638)
CH57-220,220,f,Substation,f,CH57,5.994340131372339,46.18612426891901,CH,POINT (5.994340131372339 46.18612426891901)
CH57-225,225,f,Substation,f,CH57,5.994600069102197,46.18632530541466,CH,POINT (5.994600069102197 46.18632530541466)
CH58-220,220,f,Substation,f,CH58,8.897810300091468,46.17382314164367,CH,POINT (8.897810300091468 46.17382314164367)
CH59-220,220,f,Substation,f,CH59,8.718542699932085,46.13298699147927,CH,POINT (8.718542699932085 46.13298699147927)
CH6-220,220,f,Substation,f,CH6,8.732075361560304,47.38846191806344,CH,POINT (8.732075361560304 47.388461918063435)
CH60-225,225,f,Substation,f,CH60,7.069441251777646,46.11936758052711,CH,POINT (7.069441251777646 46.11936758052711)
CH7-220,220,f,Substation,f,CH7,8.043623863510673,47.34610614624948,CH,POINT (8.043623863510673 47.34610614624948)
CH9-220,220,f,Substation,f,CH9,9.542618400000004,47.32860239226177,CH,POINT (9.542618400000004 47.32860239226177)
CZ1-400,400,f,Substation,f,CZ1,13.781758799999997,50.57862649408828,CZ,POINT (13.781758799999995 50.578626494088276)
CZ10-400,400,f,Substation,f,CZ10,15.49236765095742,49.73890245257893,CZ,POINT (15.492367650957421 49.73890245257893)
CZ11-220,220,f,Substation,f,CZ11,14.181359008869205,49.60699132311669,CZ,POINT (14.181359008869203 49.60699132311669)
CZ12-400,400,f,Substation,f,CZ12,15.593820700000004,49.551046893565164,CZ,POINT (15.593820700000004 49.551046893565164)
CZ13-400,400,f,Substation,f,CZ13,16.448139300000005,49.28095579341947,CZ,POINT (16.448139300000005 49.28095579341947)
CZ14-400,400,f,Substation,f,CZ14,14.376654905568191,49.17929729723276,CZ,POINT (14.376654905568191 49.17929729723276)
CZ15-400,400,f,Substation,f,CZ15,16.12425269973645,49.12427224340491,CZ,POINT (16.12425269973645 49.12427224340491)
CZ16-380,380,f,Substation,f,CZ16,16.08805007680874,48.745911826595645,CZ,POINT (16.08805007680874 48.745911826595645)
CZ16-400,400,f,Substation,f,CZ16,16.088360923749807,48.74608615254068,CZ,POINT (16.088360923749807 48.74608615254068)
CZ2-380,380,f,Substation,f,CZ2,13.209988145547308,50.52882861982516,CZ,POINT (13.209988145547307 50.528828619825155)
CZ2-400,400,f,Substation,f,CZ2,13.210300055064089,50.52901076215049,CZ,POINT (13.210300055064089 50.52901076215049)
CZ3-400,400,f,Substation,f,CZ3,13.680652432220173,50.42858396562603,CZ,POINT (13.680652432220171 50.42858396562603)
CZ4-220,220,f,Substation,f,CZ4,13.502009134784435,50.409388571268366,CZ,POINT (13.502009134784437 50.409388571268366)
CZ5-400,400,f,Substation,f,CZ5,13.720297313173695,50.29896177788319,CZ,POINT (13.720297313173695 50.298961777883186)
CZ6-400,400,f,Substation,f,CZ6,13.511773299999996,50.20686769390473,CZ,POINT (13.511773299999996 50.20686769390473)
CZ7-220,220,f,Substation,f,CZ7,12.607749500000006,50.15008969387613,CZ,POINT (12.607749500000006 50.15008969387613)
CZ8-400,400,f,Substation,f,CZ8,15.453131218599994,50.02904196907322,CZ,POINT (15.453131218599994 50.02904196907322)
