transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
way/100952845-220-380,way/100952845-220,way/100952845-380,220,380,5095,'LINESTRING (8.88440490617426 44.705058357800475, 8.88466826259734 44.70525243909971)'
way/100979306-220-400,way/100979306-220,way/100979306-400,220,400,7150,'LINESTRING (21.25464598399597 48.85813309594979, 21.254975386741897 48.858292281868785)'
way/101077623-275-400,way/101077623-275,way/101077623-400,275,400,1788,'LINESTRING (-1.488270819939736 53.40611604956857, -1.488006263725702 53.40633399792946)'
way/101158766-220-400,way/101158766-220,way/101158766-400,220,400,8938,'LINESTRING (21.377884119373665 46.18324856018113, 21.37819629035536 46.18340791368763)'
way/101914781-220-400,way/101914781-220,way/101914781-400,220,400,3575,'LINESTRING (20.347703037858253 53.827094796146774, 20.34806883541012 53.82725599799715)'
way/101953901-220-400,way/101953901-220,way/101953901-400,220,400,1788,'LINESTRING (-3.723263811231257 40.600501537167595, -3.723058661097693 40.600724539057175)'
way/101997887-220-380,way/101997887-220,way/101997887-380,220,380,3397,'LINESTRING (9.810607281343241 47.14268514757889, 9.81088602364097 47.14287659795069)'
way/1022235514-220-400,way/1022235514-220,way/1022235514-400,220,400,3575,'LINESTRING (15.108390466836012 59.2880837955681, 15.108788981202613 59.288260352566084)'
way/1022342082-220-400,way/1022342082-220,way/1022342082-400,220,400,3575,'LINESTRING (21.493341195022378 52.618717269148455, 21.493700693406364 52.61887511548088)'
way/102287716-220-380,way/102287716-220,way/102287716-380,220,380,3397,'LINESTRING (7.9040796271710585 45.184942375909536, 7.9043417990764135 45.18513884639022)'
way/102549055-275-400,way/102549055-275,way/102549055-400,275,400,5363,'LINESTRING (0.1143479226205021 51.52096844365073, 0.1146099622024342 51.521182849760564)'
way/1028926498-220-400,way/1028926498-220,way/1028926498-400,220,400,3575,'LINESTRING (-0.8410535233225424 41.032648782339585, -0.8408373305857694 41.032865818159294)'
way/103158873-220-400,way/103158873-220,way/103158873-400,220,400,5363,'LINESTRING (-7.281399425499746 42.34425739195922, -7.28120241786501 42.34448699728873)'
way/103381531-220-380,way/103381531-220,way/103381531-380,220,380,5095,'LINESTRING (17.3202622435284 40.531042363975736, 17.32053266255561 40.53121480308309)'
